URI,Canonical,Redirect URI,Redirect status,Count,Last,Status
/about,/about/,/about/,301,185537,2024-01-06 16:26:33+00:00,301
/atom.xml,/,/,301,178818,2024-01-07 09:54:37+00:00,301
/articles/2011/07/26/disable-recent-items,/articles/disable-recent-items/,/technology/disable-recent-items/,301,148956,2024-01-06 18:32:38+00:00,301
/articles/2012/07/10/time-machine-inherit-backup-using-tmutil,/articles/time-machine-inherit-backup-using-tmutil/,/technology/time-machine-inherit-backup-using-tmutil/,301,104450,2024-01-07 12:21:01+00:00,301
/articles/2011/07/26/disable-recent-items/,/articles/disable-recent-items/,/technology/disable-recent-items/,301,79664,2024-01-06 19:29:08+00:00,301
/articles/2012/07/10/time-machine-inherit-backup-using-tmutil/,/articles/time-machine-inherit-backup-using-tmutil/,/technology/time-machine-inherit-backup-using-tmutil/,301,65692,2024-01-07 12:21:02+00:00,301
/hints/macosx/disable_recent_items,/hints/macosx/disable-recent-items/,/categories/macos/,301,35647,2024-01-04 19:14:27+00:00,301
/articles/2010/08/29/smtp-smarthost,/articles/smtp-smarthost/,/technology/,301,22429,2024-01-03 00:01:01+00:00,301
/articles/2011/02/18/time-machine-volume-uuid,/articles/time-machine-volume-uuid/,/technology/time-machine-volume-uuid/,301,21049,2024-01-05 04:15:39+00:00,301
/articles/2012/07/08/fix-apache-bench-ab-on-os-x-lion,/articles/fix-apache-bench-ab-on-os-x-lion/,/technology/,301,19279,2024-01-05 23:15:28+00:00,301
/articles/2011/03/17/cisco-vpn,/articles/cisco-vpn/,/technology/cisco-vpn-save-password-macos/,301,19277,2024-01-06 13:56:48+00:00,301
/hints/macosx/cisco_vpn,/hints/macosx/cisco-vpn/,/categories/macos/,301,17067,2024-01-05 19:06:08+00:00,301
/articles/2008/03/20/kdcmond,/articles/kdcmond/,/technology/,301,15408,2024-01-06 16:26:46+00:00,301
/articles/2011/08/02/multiple-identities-mail,/articles/multiple-identities-mail/,/technology/,301,12279,2023-12-29 03:57:34+00:00,301
/articles/os-x/,/articles/os-x/,/technology/,301,11985,2023-12-26 18:50:28+00:00,301
/articles/,/articles/,/leadership/,301,11955,2024-01-06 16:26:33+00:00,301
/articles/2009/01/10/time-machine-readonly,/articles/time-machine-readonly/,/technology/,301,11096,2024-01-06 08:30:35+00:00,301
/articles/2012/10/19/compile-gcc-4-dot-4-on-rhel-5,/articles/compile-gcc-4-dot-4-on-rhel-5/,/technology/,301,10500,2024-01-03 06:59:11+00:00,301
/articles/2013/03/14/comodo-ssl-certificate-with-nginx,/articles/comodo-ssl-certificate-with-nginx/,/technology/,301,10436,2023-12-27 05:04:56+00:00,301
/publications/,/publications/,/research/publications/,301,10216,2024-01-05 09:43:07+00:00,301
/articles/2008/01/03/capitalization,/articles/capitalization/,/digitization/capitalization-title-headings-preferences/,301,9197,2023-12-26 21:27:06+00:00,301
/articles/2012/05/02/acm-template-with-basic-tex-live,/articles/acm-template-with-basic-tex-live/,/technology/,301,8959,2023-12-04 12:34:42+00:00,301
/articles/time-machine-inherit-backup-using-tmutil/,/articles/time-machine-inherit-backup-using-tmutil/,/technology/time-machine-inherit-backup-using-tmutil/,301,8851,2024-01-07 12:07:02+00:00,301
/articles/2009/01/10/time-machine-readonly/,/articles/time-machine-readonly/,/technology/,301,8694,2024-01-06 08:30:35+00:00,301
/articles/2009/11/16/stop-0x7b,/articles/stop-0x7b/,/technology/,301,8109,2024-01-04 20:26:00+00:00,301
/articles/2011/09/26/nstat-lookup-entry-failed-2,/articles/nstat-lookup-entry-failed-2/,/technology/,301,8090,2024-01-06 16:26:49+00:00,301
/hints/macosx/time-machine-volume-uuid,/hints/macosx/time-machine-volume-uuid/,/technology/time-machine-volume-uuid/,301,7691,2024-01-07 04:45:18+00:00,301
/articles/2011/07/22/private-browsing,/articles/private-browsing/,/technology/,301,7038,2023-12-28 10:23:45+00:00,301
/index.xml,/,/,301,6834,2024-01-05 19:57:50+00:00,301
/articles/2012/02/01/jekyll-directory-listing,/articles/jekyll-directory-listing/,/technology/,301,6452,2024-01-06 23:29:40+00:00,301
/articles/2010/06/29/zero-disk,/articles/zero-disk/,/technology/,301,6444,2024-01-05 10:36:36+00:00,301
/publications/baumann_realistic-mobility-models_infocom07.pdf,/publications/baumann_realistic-mobility-models_infocom07.pdf,/research/publications/baumann_realistic-mobility-models_infocom07.pdf,301,6409,2024-01-02 12:34:59+00:00,301
/archive,/archive/,/,301,6290,2023-12-30 17:44:12+00:00,301
/articles/2011/11/30/share-media,/articles/share-media/,/technology/,301,5946,2023-12-31 06:17:34+00:00,301
