URI,Canonical,Redirect URI,Redirect status,Count,Last,Status
/articles/2012/07/08/fix-apache-bench-ab-on-os-x-lion,/articles/fix-apache-bench-ab-on-os-x-lion/,/articles/fix-apache-bench-ab-on-os-x-lion/,404,19279,2024-01-05 23:15:28+00:00,301
/articles/2012/10/19/compile-gcc-4-dot-4-on-rhel-5,/articles/compile-gcc-4-dot-4-on-rhel-5/,/articles/compile-gcc-4-dot-4-on-rhel-5/,404,10500,2024-01-03 06:59:11+00:00,301
/articles/2009/11/16/stop-0x7b,/articles/stop-0x7b/,/articles/stop-0x7b/,404,8109,2024-01-04 20:26:00+00:00,301
/articles/2010/06/29/zero-disk,/articles/zero-disk/,/articles/zero-disk/,404,6444,2024-01-05 10:36:36+00:00,301
/publications/baumann_realistic-mobility-models_infocom07.pdf,/publications/baumann_realistic-mobility-models_infocom07.pdf,/publications/baumann_realistic-mobility-models_infocom07.pdf,404,6409,2024-01-02 12:34:59+00:00,301
/sitemap.xml,/sitemap.xml,/sitemap.xml,404,5463,2024-01-07 05:12:40+00:00,200
/articles/hints/,/articles/hints/,/articles/hints/,404,4648,2023-12-18 10:01:54+00:00,404
/articles/2008/08/02/permanently-delete,/articles/permanently-delete/,/articles/permanently-delete/,404,4196,2023-11-08 11:06:17+00:00,301
/publications/dissertation,/publications/dissertation/,/publications/dissertation/,404,4177,2024-01-07 11:50:54+00:00,301
/publications/heimlicher_e2e-vs-hbh-transport_sigmetrics07.pdf,/publications/heimlicher_e2e-vs-hbh-transport_sigmetrics07.pdf,/publications/heimlicher_e2e-vs-hbh-transport_sigmetrics07.pdf,404,3729,2024-01-07 03:33:02+00:00,301
/articles/2012/10/19/compile-gcc-4-dot-4-on-rhel-5/,/articles/compile-gcc-4-dot-4-on-rhel-5/,/articles/compile-gcc-4-dot-4-on-rhel-5/,404,3674,2024-01-03 06:59:12+00:00,404
/publications/heimlicher_globs_mobihoc10.pdf,/publications/heimlicher_globs_mobihoc10.pdf,/publications/heimlicher_globs_mobihoc10.pdf,404,3605,2023-12-31 08:57:36+00:00,301
/articles/2009/04/24/usb-boot-error,/articles/usb-boot-error/,/articles/usb-boot-error/,404,3550,2023-12-28 09:09:01+00:00,301
/publications/heimlicher_e2e-vs-hbh-intermittent_autonomics07.pdf,/publications/heimlicher_e2e-vs-hbh-intermittent_autonomics07.pdf,/publications/heimlicher_e2e-vs-hbh-intermittent_autonomics07.pdf,404,3504,2024-01-06 12:42:24+00:00,301
/articles/2010/06/24/environment,/articles/environment/,/articles/environment/,404,3488,2023-12-27 13:48:10+00:00,301
/articles/2011/07/26/fix-ical-look,/articles/fix-ical-look/,/articles/fix-ical-look/,404,3458,2023-11-18 01:48:23+00:00,301
/publications/baumann_heat_wowmom07.pdf,/publications/baumann_heat_wowmom07.pdf,/publications/baumann_heat_wowmom07.pdf,404,3221,2024-01-07 00:48:15+00:00,301
/publications/baumann_routing-into-wmn_wimob07.pdf,/publications/baumann_routing-into-wmn_wimob07.pdf,/publications/baumann_routing-into-wmn_wimob07.pdf,404,3202,2024-01-06 03:44:34+00:00,301
/articles/2010/12/21/gpgmail,/articles/gpgmail/,/articles/gpgmail/,404,3068,2023-08-22 18:42:36+00:00,301
/articles/2010/06/10/safari-5-adblock,/articles/safari-5-adblock/,/articles/safari-5-adblock/,404,2977,2023-11-08 07:10:56+00:00,301
/articles/2008/07/12/mdnsresponder-ssl,/articles/mdnsresponder-ssl/,/articles/mdnsresponder-ssl/,404,2854,2023-10-19 08:29:54+00:00,301
/publications/heimlicher_transport-layer-revisited_comsware07.pdf,/publications/heimlicher_transport-layer-revisited_comsware07.pdf,/publications/heimlicher_transport-layer-revisited_comsware07.pdf,404,2842,2024-01-07 00:48:08+00:00,301
/publications/heimlicher_partialpaths_infocom09.pdf,/publications/heimlicher_partialpaths_infocom09.pdf,/publications/heimlicher_partialpaths_infocom09.pdf,404,2704,2024-01-03 22:37:23+00:00,301
/publications/heimlicher_saft_mass06.pdf,/publications/heimlicher_saft_mass06.pdf,/publications/heimlicher_saft_mass06.pdf,404,2685,2024-01-04 13:00:43+00:00,301
/publications/forwarding-paradigms,/publications/forwarding-paradigms/,/publications/forwarding-paradigms/,404,2605,2023-12-21 09:47:33+00:00,301
/articles/2013/09/27/android-determine-whether-google-map-v2-has-finished-loading,/articles/android-determine-whether-google-map-v2-has-finished-loading/,/articles/android-determine-whether-google-map-v2-has-finished-loading/,404,2525,2023-09-01 20:52:03+00:00,301
/articles/2010/01/19/printliminator,/articles/printliminator/,/articles/printliminator/,404,2445,2023-08-10 17:57:10+00:00,301
/publications/characterizing-networks,/publications/characterizing-networks/,/publications/characterizing-networks/,404,2393,2023-12-20 23:16:44+00:00,301
/publications/heimlicher_community-labelled-sbm_nips12.pdf,/publications/heimlicher_community-labelled-sbm_nips12.pdf,/publications/heimlicher_community-labelled-sbm_nips12.pdf,404,2386,2024-01-03 05:57:38+00:00,301
/publications/baumann_protocol-for-macro-mobility_pcac07.pdf,/publications/baumann_protocol-for-macro-mobility_pcac07.pdf,/publications/baumann_protocol-for-macro-mobility_pcac07.pdf,404,2352,2024-01-05 22:27:58+00:00,301
/articles/2009/04/24/usb-boot-error/,/articles/usb-boot-error/,/articles/usb-boot-error/,404,2296,2024-01-03 12:52:17+00:00,404
/articles/web-server/,/articles/web-server/,/articles/web-server/,404,2198,2023-11-08 15:17:12+00:00,404
/articles/linux/,/articles/linux/,/articles/linux/,404,2131,2023-05-21 23:39:20+00:00,404
/articles/os-x-server/,/articles/os-x-server/,/articles/os-x-server/,404,2124,2023-08-31 16:56:58+00:00,404
/articles/windows/,/articles/windows/,/articles/windows/,404,2107,2023-03-24 19:48:53+00:00,404
/articles/2009/11/20/bjam,/articles/bjam/,/articles/bjam/,404,2087,2023-08-11 11:04:46+00:00,301
/articles/2008/04/16/lan-nagging,/articles/lan-nagging/,/articles/lan-nagging/,404,2068,2023-02-13 15:30:18+00:00,301
/articles/2008/09/08/regex,/articles/regex/,/articles/regex/,404,2060,2023-12-01 03:20:02+00:00,301
